id,user_configuration_id,question_id
1,3,23733
2,3,38414
3,1,6087
4,5,38734
5,6,38543
6,6,38734
7,7,5789
8,7,31376
9,6,5789
10,6,43590
11,8,38543
12,2,38543
13,14,36824
14,2,38734
15,19,5789
16,15,44599
17,2,39419
18,15,48979
19,29,36824
20,29,22156
21,3,22156
22,18,6087
23,35,5789
24,34,36824
25,33,31376
26,29,56212
27,32,50151
28,18,38734
29,36,5789
30,2,57765
31,2,36824
32,18,5789
33,39,14527
34,2,53523
35,44,5789
36,2,55404
37,43,22156
38,45,23733
39,45,36824
40,47,6087
41,47,22156
42,49,39419
43,45,42159
44,49,40836
45,49,42834
46,50,14527
47,41,41385
48,2,56212
49,2,55407
50,45,58023
51,7,41385
52,2,57909
53,47,14527
54,2,5789
55,1,38549
56,51,54857
57,51,57765
58,47,6087
59,56,36824
60,54,40554
61,1,6087
62,61,14527
63,54,52327
64,21,36824
65,54,54899
66,54,56212
67,51,57765
68,77,38734
69,1,5789
70,1,6087
72,1,54857
73,79,5789
74,30,40554
75,30,38414
76,30,36824
77,32,43590
78,32,50162
79,32,53212
80,64,5789
81,93,41959
82,93,39419
83,93,57765
84,3,5789
85,97,5789
86,97,22156
87,50,5789
88,98,38549
89,81,23733
90,81,5789
91,105,36824
92,105,38734
93,105,40554
94,15,36824
95,2,38899
96,2,38734
97,2,42159
98,2,42567
99,2,44857
100,2,50162
101,2,49701
102,2,52548
103,2,52567
104,2,52759
105,2,53558
106,2,54699
107,2,54617
108,2,55402
109,2,55668
110,2,56458
111,2,57213
112,2,57165
113,2,57801
114,2,57765
115,2,58023
116,81,23733
117,2,31376
118,109,40554
119,111,31376
120,104,14527
121,104,36824
122,112,6087
123,125,40554
124,131,31376
125,143,14527
126,146,57765
127,1,38414
128,147,6087
129,147,38543
130,2,57909
131,2,57765
132,151,5789
133,154,22156
134,164,31376
135,167,53268
136,170,54899
137,170,53268
138,170,52759
139,173,5789
140,174,48326
141,167,40554
142,167,40554
143,167,55687
144,191,40821
145,210,38414
146,210,38414
147,443,36824
148,666,38414
1000,1,30226
2000,1,30226
3000,1,30226
4000,1,31665
5000,14,22829
6000,24,31376
7000,14,36824
8000,26,5789
9000,34,14527
10000,35,5789
11000,36,31984
12000,36,37915
13000,36,37649
14000,36,41442
15000,37,21501
16000,37,23733
17000,37,40331
18000,40,14527
19000,43,14527
20000,43,14527
21000,48,21793
22000,48,5880
23000,50,22331
24000,57,5789
25000,61,5789
26000,59,19398
27000,51,5880
28000,59,21793
29000,60,21501
30000,59,5789
31000,51,28209
32000,51,43072
33000,51,41362
34000,60,21793
35000,68,5880
36000,68,14527
37000,67,22156
38000,60,14527
39000,59,5789
40000,74,37210
41000,51,5789
42000,77,5789
43000,79,5789
44000,59,38422
45000,81,5789
46000,60,5789
47000,83,42087
48000,65,5789
49000,86,5789
50000,86,6469
51000,51,35075
52000,51,38422
53000,36,21793
54000,88,21793
55000,96,5880
56000,98,5789
57000,103,5880
58000,60,21793
59000,1,21793
60000,1,31984
61000,61,5789
62000,61,22829
63000,14,22829
64000,14,42372
65000,51,21501
66,115,21501
67,118,21501
